pos	category	lemma	offensiveness_score
4 verbo	cds	sopprimiamole	5
4 verbo	cds	sopprimiamoli	5
4 verbo	cds	sopprimiamolo	5
3 sostantivo	asf	sorca	3.2784456328411764
3 sostantivo	asf	sorce	3.2784456328411764
3 sostantivo	asf	sorche	3.2784456328411764
3 sostantivo	an; cds	sorci	2.8866672898827828
3 sostantivo	asf	sorcia	3.2784456328411764
3 sostantivo	an; cds	sorcio	2.8866672898827828
1 aggettivo	ddp; cds	sorda	1.651934395006064
1 aggettivo	ddp; cds	sorde	1.651934395006064
1 aggettivo	ddp; cds	sordi	1.651934395006064
1 aggettivo	dmc	sordida	3.218760533643757
1 aggettivo	dmc	sordide	3.218760533643757
1 aggettivo	dmc	sordidi	3.218760533643757
1 aggettivo	dmc	sordido	3.218760533643757
1 aggettivo	ddp; cds	sordo	1.651934395006064
1 aggettivo	cds	sorniona	1.7232715648534755
1 aggettivo	cds	sornione	1.7232715648534755
1 aggettivo	cds	sornioni	1.7232715648534755
4 verbo	cds	sotteriamolo	5
4 verbo	cds	sotterrarla	5
4 verbo	cds	sotterrarle	5
4 verbo	cds	sotterrarli	5
4 verbo	cds	sotterrarlo	5
4 verbo	cds	sotterratela	5
4 verbo	cds	sotterratele	5
4 verbo	cds	sotterrateli	5
4 verbo	cds	sotterratelo	5
4 verbo	cds	sotterrati	5
4 verbo	cds	sotterriamola	5
4 verbo	cds	sotterriamole	5
4 verbo	cds	sotterriamoli	5
4 verbo	cds	sotterriamolo	5
1 aggettivo	qas; min	sottomessa	2.4028248870736473
1 aggettivo	qas; min	sottomesse	2.4028248870736473
1 aggettivo	qas; min	sottomessi	2.4028248870736473
1 aggettivo	qas; min	sottomesso	2.4028248870736473
1 aggettivo	qas	sottosviluppata	3.1922457512175675
1 aggettivo	qas	sottosviluppate	3.1922457512175675
1 aggettivo	qas	sottosviluppati	3.1922457512175675
1 aggettivo	qas	sottosviluppato	3.1922457512175675
1 aggettivo	re; qas	sovversiva	1.693086024876681
1 aggettivo	re; qas	sovversive	1.693086024876681
1 aggettivo	re; qas	sovversivi	1.693086024876681
1 aggettivo	re; qas	sovversivo	1.693086024876681
1 aggettivo	dmc	sozza	2.759794434435867
1 aggettivo	dmc	sozze	2.759794434435867
1 aggettivo	dmc	sozzi	2.759794434435867
1 aggettivo	dmc	sozzo	2.759794434435867
1 aggettivo	pr; mi	sozzona	2.759794434435867
1 aggettivo	pr; mi	sozzone	2.759794434435867
1 aggettivo	pr; mi	sozzoni	2.759794434435867
3 sostantivo	cds	sozzume	2.759794434435867
3 sostantivo	cds	sozzumi	2.759794434435867
3 sostantivo	cds	sozzura	2.759794434435867
3 sostantivo	cds	sozzure	2.759794434435867
3 sostantivo	cds	spaccamontagne	1.7071672061360184
3 sostantivo	cds	spaccamonti	1.7071672061360184
3 sostantivo	cds	spaccona	1.8819645032189904
3 sostantivo	cds; svp	spacconaggine	1.8819645032189904
3 sostantivo	cds; svp	spacconaggini	1.8819645032189904
3 sostantivo	cds	spaccone	1.8819645032189904
3 sostantivo	cds	spacconi	1.8819645032189904
2 sostantivo, aggettivo	dmc; an; svp; is	sparagnina	2.136219430007099
2 sostantivo, aggettivo	dmc; an; svp; is	sparagnine	2.136219430007099
2 sostantivo, aggettivo	dmc; an; svp; is	sparagnini	2.136219430007099
2 sostantivo, aggettivo	dmc; an; svp; is	sparagnino	2.136219430007099
4 verbo	cds	sparatevi	5
4 verbo	cds	sparati	5
4 verbo	cds	spariamogli	5
4 verbo	cds	sparire	5
4 verbo	cds	sparisci	5
3 sostantivo	cds; ddp	sparlatore	2.2975890925698264
3 sostantivo	cds; ddp	sparlatori	2.2975890925698264
3 sostantivo	cds; ddp	sparlatrice	2.2975890925698264
3 sostantivo	cds; ddp	sparlatrici	2.2975890925698264
2 sostantivo, aggettivo	ddp; cds; ddf	spastica	3.0417243965648257
2 sostantivo, aggettivo	ddp; cds; ddf	spastiche	3.0417243965648257
2 sostantivo, aggettivo	ddp; cds; ddf	spastici	3.0417243965648257
2 sostantivo, aggettivo	ddp; cds; ddf	spastico	3.0417243965648257
3 sostantivo	qas; cds	spauracchi	3.1694641578328415
3 sostantivo	qas; cds	spauracchio	3.1694641578328415
1 aggettivo	svp; cds	spavalda	1.3849553272688742
1 aggettivo	svp; cds	spavalde	1.3849553272688742
1 aggettivo	svp; cds	spavaldi	1.3849553272688742
1 aggettivo	svp; cds	spavaldo	1.3849553272688742
3 sostantivo	qas; cds	spaventapasseri	2.2596950205841964
1 aggettivo	qas; min	spazzata	2.3915821930384933
1 aggettivo	qas; min	spazzate	2.3915821930384933
1 aggettivo	qas; min	spazzati	2.3915821930384933
1 aggettivo	qas; min	spazzato	2.3915821930384933
3 sostantivo	an; cds; ddp; asf; qas	spazzatura	3.4762607024237506
3 sostantivo	an; cds; ddp; asf; qas	spazzature	3.4762607024237506
3 sostantivo	an; re	speculatore	2.9225533052166965
3 sostantivo	an; re	speculatori	2.9225533052166965
3 sostantivo	an; re	speculatrice	2.9225533052166965
3 sostantivo	an; re	speculatrici	2.9225533052166965
3 sostantivo	qas	spelonca	1.854585796059482
3 sostantivo	qas	spelonche	1.854585796059482
2 sostantivo, aggettivo	dmc	spendacciona	1.1628589072417548
2 sostantivo, aggettivo	dmc	spendaccione	1.1628589072417548
2 sostantivo, aggettivo	dmc	spendaccioni	1.1628589072417548
1 aggettivo	dmc	spenta	1.2164485153748656
1 aggettivo	dmc	spente	1.2164485153748656
1 aggettivo	dmc	spenti	1.2164485153748656
1 aggettivo	dmc	spento	1.2164485153748656
2 sostantivo, aggettivo	dmc;	spergiura	1.9287485641826965
2 sostantivo, aggettivo	dmc;	spergiure	1.9287485641826965
2 sostantivo, aggettivo	dmc;	spergiuri	1.9287485641826965
2 sostantivo, aggettivo	dmc;	spergiuro	1.9287485641826965
3 sostantivo	asm;qas	sperma	4.731971447288265
2 sostantivo, aggettivo	dmc	sperperatore	1.1628589072417548
2 sostantivo, aggettivo	dmc	sperperatori	1.1628589072417548
2 sostantivo, aggettivo	dmc	sperperatrice	1.1628589072417548
2 sostantivo, aggettivo	dmc	sperperatrici	1.1628589072417548
3 sostantivo	ddp	spia	2.405262860356326
1 aggettivo	ddf; ddp; dmc; cds	spiacevole	1.9856560821020135
1 aggettivo	ddf; ddp; dmc; cds	spiacevoli	1.9856560821020135
2 sostantivo, aggettivo	is	spiantata	2.889367070933167
2 sostantivo, aggettivo	is	spiantate	2.889367070933167
2 sostantivo, aggettivo	is	spiantati	2.889367070933167
2 sostantivo, aggettivo	is	spiantato	2.889367070933167
3 sostantivo	ddp	spie	2.405262860356326
1 aggettivo	dmc	spietata	2.309077611780025
1 aggettivo	dmc	spietate	2.309077611780025
1 aggettivo	dmc	spietati	2.309077611780025
1 aggettivo	dmc	spietato	2.309077611780025
3 sostantivo	ddp; cds	spifferona	2.2975890925698264
3 sostantivo	ddp; cds	spifferone	2.2975890925698264
3 sostantivo	ddp; cds	spifferoni	2.2975890925698264
3 sostantivo	svp	spilorceria	2.2803941217647914
3 sostantivo	svp	spilorcerie	2.2803941217647914
2 sostantivo, aggettivo	an; svp; is; dmc	spilorci	2.2803941217647914
2 sostantivo, aggettivo	an; svp; is; dmc	spilorcia	2.2803941217647914
2 sostantivo, aggettivo	an; svp; is; dmc	spilorcie	2.2803941217647914
2 sostantivo, aggettivo	an; svp; is; dmc	spilorcio	2.2803941217647914
3 sostantivo	ddp; cds	spiona	2.2103878266075405
3 sostantivo	ddp; cds	spione	2.2103878266075405
