babelnet_id,lemma,sense_lemma,pos,examples,glosses,categories
bn:00028138n,idiot,pillock,NOUN,"The economy, stupid!",A person who is not very bright,Articles_with_short_description | Historical_and_obsolete_mental_and_behavioural_disorders | Intellectual_disability | Obsolete_medical_terms | Pejorative_terms_for_people_with_disabilities | Slurs_related_to_low_intelligence | Wikipedia_articles_incorporating_a_citation_from_the_1911_Encyclopaedia_Britannica_with_Wikisource_reference
bn:00103179a,idiot,foolish,ADJ,A foolish decision | Foolish remarks,Devoid of good sense or judgment,
bn:00111343a,idiot,unintelligent,ADJ,A dull job with lazy and unintelligent co-workers,Lacking intelligence,
bn:00111343a,idiot,stupid,ADJ,A dull job with lazy and unintelligent co-workers,Lacking intelligence,
bn:00111342a,idiot,stupid,ADJ,,Lacking or marked by lack of intellectual acuity,
bn:00101180a,idiot,dense,ADJ,"Although dull at classical learning, at mathematics he was uncommonly quick | Although dull at classical learning, at mathematics he was uncommonly quick - Thackeray | Dumb officials make some really dumb decisions | He was either normally stupid or being deliberately obtuse | Never met anyone quite so dim | So dense he never understands anything I say to him | Worked with the slow students",Slow to learn or understand; lacking intellectual acuity,
bn:00101180a,idiot,dim,ADJ,"Although dull at classical learning, at mathematics he was uncommonly quick | Although dull at classical learning, at mathematics he was uncommonly quick - Thackeray | Dumb officials make some really dumb decisions | He was either normally stupid or being deliberately obtuse | Never met anyone quite so dim | So dense he never understands anything I say to him | Worked with the slow students",Slow to learn or understand; lacking intellectual acuity,
bn:00101180a,idiot,dull,ADJ,"Although dull at classical learning, at mathematics he was uncommonly quick | Although dull at classical learning, at mathematics he was uncommonly quick - Thackeray | Dumb officials make some really dumb decisions | He was either normally stupid or being deliberately obtuse | Never met anyone quite so dim | So dense he never understands anything I say to him | Worked with the slow students",Slow to learn or understand; lacking intellectual acuity,
bn:00101180a,idiot,dumb,ADJ,"Although dull at classical learning, at mathematics he was uncommonly quick | Although dull at classical learning, at mathematics he was uncommonly quick - Thackeray | Dumb officials make some really dumb decisions | He was either normally stupid or being deliberately obtuse | Never met anyone quite so dim | So dense he never understands anything I say to him | Worked with the slow students",Slow to learn or understand; lacking intellectual acuity,
bn:00101180a,idiot,obtuse,ADJ,"Although dull at classical learning, at mathematics he was uncommonly quick | Although dull at classical learning, at mathematics he was uncommonly quick - Thackeray | Dumb officials make some really dumb decisions | He was either normally stupid or being deliberately obtuse | Never met anyone quite so dim | So dense he never understands anything I say to him | Worked with the slow students",Slow to learn or understand; lacking intellectual acuity,
bn:00101180a,idiot,slow,ADJ,"Although dull at classical learning, at mathematics he was uncommonly quick | Although dull at classical learning, at mathematics he was uncommonly quick - Thackeray | Dumb officials make some really dumb decisions | He was either normally stupid or being deliberately obtuse | Never met anyone quite so dim | So dense he never understands anything I say to him | Worked with the slow students",Slow to learn or understand; lacking intellectual acuity,
bn:00097585a,idiot,asinine,ADJ,A vacant expression | A vacuous mind,Devoid of intelligence | Devoid of intelligence or thought,
bn:00097585a,idiot,fatuous,ADJ,A vacant expression | A vacuous mind,Devoid of intelligence | Devoid of intelligence or thought,
bn:00097585a,idiot,inane,ADJ,A vacant expression | A vacuous mind,Devoid of intelligence | Devoid of intelligence or thought,
bn:00097585a,idiot,mindless,ADJ,A vacant expression | A vacuous mind,Devoid of intelligence | Devoid of intelligence or thought,
bn:00097585a,idiot,vacuous,ADJ,A vacant expression | A vacuous mind,Devoid of intelligence | Devoid of intelligence or thought,
