ID,Lemma,POS,Synset_ID,Synset_Lemma,Definition,Definition' source,Example,Example' source,Original HurtLex Category,Stereotype,synset_category,synonyms_en,definition_en,definition_category,ERIS_score,aikia_offensive_score
IT920,stronzo,noun,Synset('omw-iwn-09815188-n'),['stronzo'],persona stupida o malvagia,omw,"Sei stato tu, brutto stronzo, a farle un occhio nero!",se,,,,,,,,
IT1551,problema,noun,Synset('omw-iwn-14476852-n'),['problema'],situazione difficile o complicata da superare,omw,"Sei solo un problema, meglio che muori"".",se,,,,,,,,
IT4385,scarso,adjective,Synset('omw-iwn-02336904-a'),"['esiguo', 'povero', 'scarso', 'insufficiente', 'gramo']","poco dotato, poco abile nell’esercizio di determinate attività",dm,Sei scarso e oltretutto presuntuoso.,se,,,,,,,,
IT920,stronzo,noun,Synset('omw-iwn-14854581-n'),"['cacca', 'merda', 'stronzo', 'cacata']",escremento,omw,Sei proprio uno stronzo e un ipocrita.,se,,,,,,,,
IT2695,maiale,noun,Synset('omw-iwn-10179649-n'),"['sporcaccione', 'maiale', 'porco', 'sudicione']",persona sporca in senso materiale o morale,omw,"Se vuoi vivere alle spalle di quella povera ragazza, sei un maiale.",se,,,,,,,,
IT628,pollo,noun,Synset('omw-iwn-01791625-n'),['pollo'],"Persona ingenua, che si lascia ingannare facilmente.",dm,Se questa notizia fosse confermata Di Luca è un pollo.,se,,,,,,,,
IT2398,fascista,noun,Synset('omw-iwn-10079893-n'),"['nero', 'fascista']",seguace del fascismo,omw,Se parli di questi argomenti sei un fascista a prescindere.,se,,,,,,,,
IT4342,povero,adjective,Synset('omw-iwn-02025498-a'),"['indigente', 'misero', 'povero', 'bisognoso', 'meschino', 'bisognevole']","In espressioni esclamative, per esprimere commiserazione o avvertimento, minaccia e simili.",dm,"Se non farai ciò che ti dico, povero te!",se,,,,,,,,
IT900,nero,noun,Synset('omw-iwn-09636339-n'),"['moro', 'nero', 'negro']",uomo di razza nera,omw,"Se gli avessero detto "" sporco nero di merda"" o anche se solo gli avessero scritto ""nero"" sulla busta accanto al suo nome, non sarebbe certo stato un atto di maggiore civiltà.",se,,,,,,,,
IT478,palla,noun,Synset('omw-iwn-05524615-n'),"['gonade', 'coglione', 'palla', 'testicolo']",ghiandola riproduttiva maschile,omw,Se fossi stata una donna forte gli avrei dato un calcio nelle palle e sarei scappata.,se,,,,,,,,
IT89,idiozia,noun,Synset('omw-iwn-06611998-n'),"['idiozia', 'strafalcione', 'sfarfallone', 'asinata', 'asinità', 'asineria']","atto, discorso da sciocco",omw,"Se fosse vera, questa trovata sarebbe una clamorosa idiozia.",se,,,,,,,,
IT3560,pastore,noun,Synset('omw-iwn-10587605-n'),"['pecoraio', 'pastore']",Persona rozza e zotica.,dm,"Salvatore è un ragazzo analfabeta, che viene mandato a combattere in Russia, non sa nulla della guerra, lui è solo un pastore.",se,,,,,,,,
IT918,bastardo,noun,Synset('omw-iwn-09842823-n'),"['bastardo', 'figlio-naturale', 'illegittimo']",persona di nascita illegittima,omw,Sabino si spacciava per figlio di un bastardo di Giulio Cesare.,se,,,,,,,,
IT2027,crimine,noun,Synset('omw-iwn-00766234-n'),"['reato', 'misfatto', 'crimine', 'delitto']",Azione particolarmente deprecabile.,dm,Rubare i sogni ai piccoli è un crimine.,se,,,,,,,,
IT2050,criminalità,noun,Synset('omw-iwn-08245172-n'),"['organizzazione criminale', 'associazione criminale', ""criminalita' organizzata"", 'criminalità']","associazione criminale, l'insieme dei malviventi",omw,Riprendere le consuete attività istituzionali di prevenzione e di contrasto alla criminalità cittadina.,se,,,,,,,,
IT646,vittima,noun,Synset('omw-iwn-09899671-n'),['vittima'],Vittimizzarsi.,dm,Rimani pure qui a fare la vittima appena ti dicono qualcosa ma se puoi evita di intervenire nei miei post grazie.,se,,,,,,,,
IT1,fango,noun,Synset('omw-iwn-14956325-n'),"['mota', 'melma', 'sapropel', 'loto', 'limo', 'fanghiglia', 'fango']","Persona spregevole, vile.",dm,"Ricordo ancora il pezzo di fango che, mentre ero in maternità, ha brigato in ogni modo per arraffarsi il mio comune.",se,,,,,,,,
IT4105,banale,adjective,Synset('omw-iwn-01673946-a'),['banale'],"che è comune, privo di originalità",omw,"Questo ti responsabilizza, ti fa essere attento a ogni parola, a ogni esempio, per non essere mai banale e scontato.",se,,,,,,,,
IT1310,ignobile,adjective,Synset('omw-iwn-01227546-a'),"['infamante', 'disonorevole', 'ignobile', 'vergognoso', 'obbrobrioso']",che è causa di vergogna,omw,"Questi cavalieri sono finiti sul rogo a causa di personaggi ignobili, ignoranti e senza etica.",se,,,,,,,,
IT1093,vacca,noun,Synset('omw-iwn-09972587-n'),['vacca'],donna grossa e sformata,omw,Quella è una vacca che non fa altro che cornificarmi non appena giro la testa.,se,,,,,,,,
IT1355,azienda,noun,Synset('omw-iwn-08058098-n'),"['società', 'impresa', 'azienda', 'ditta', 'compagnia']",Insieme di persone e di beni organizzato per raggiungere un fine economico attraverso lo svolgimento di attività di vario genere.,dm,Quella delle scuole torinesi è una risposta precisa a tutti quelli (ministri e/o sindacalisti) che in tutti questi anni hanno scambiato la scuola come una azienda.,se,,,,,,,,
