alignment id	EN	JA	IT	ES	NL	FR	DE	FI	PL	MK	PT	RU	ZH	ID	MS	CA	TL	RO	FA	SV	SL	AR	NO	DA	CS	SK	IS	HR	EL	BG	LT	UK	HE	VI	HU	ET	TR	LV	SR	GA	CY	SW	SQ	AF	HI	KO	MT	EU	BN	TH	GL	EO	SIMPLE
ALIGNMENT47	EN1168, EN1169, EN1170, EN1171, EN1172, EN1173, EN1174, EN1175, EN1176, EN1177, EN1178, EN1179, EN1180, EN1181, EN1182, EN1183, EN1184, EN1185, EN1186, EN1187, EN1188, EN1189, EN1190, EN1191, EN1192, EN1193, EN1194, EN1195, EN1196, EN1197, EN1198, EN1199, EN1200, EN1201, EN1202, EN1203, EN1204, EN1205, EN1206, EN1207, EN1208, EN1209, EN1210, EN1211, EN1212, EN1213, EN1214, EN1215, EN1216, EN1217, EN1218, EN1219, EN1220, EN1221, EN1222, EN1223, EN1224, EN1225	JA1052, JA1053, JA1054, JA1055, JA1056, JA1057, JA1058, JA1059, JA1060, JA1061, JA1062, JA1063, JA1064, JA1065, JA1066, JA1067, JA1068	IT902, IT903, IT904, IT905, IT906, IT907, IT908, IT909, IT910, IT911, IT912, IT913, IT914	ES663, ES664, ES665, ES666, ES667, ES668, ES669, ES670, ES671, ES672, ES673, ES674	NL712, NL713, NL714, NL715, NL716, NL717, NL718, NL719, NL720, NL721, NL722	FR701, FR702, FR703, FR704, FR705, FR706, FR707, FR708, FR709, FR710, FR711, FR712	DE623, DE624, DE625, DE626, DE627, DE628, DE629, DE630, DE631, DE632, DE633, DE634	FI668, FI669, FI670, FI671, FI672, FI673, FI674, FI675, FI676, FI677, FI678, FI679, FI680, FI681, FI682, FI683, FI684	PL625, PL626, PL627, PL628, PL629, PL630, PL631, PL632, PL633, PL634, PL635, PL636, PL637, PL638, PL639, PL640		PT544, PT545, PT546, PT547, PT548, PT549, PT550, PT551, PT552	RU549, RU550, RU551, RU552, RU553, RU554, RU555, RU556, RU557, RU558, RU559	ZH497, ZH498, ZH499, ZH500, ZH501, ZH502, ZH503, ZH504, ZH505, ZH506, ZH507, ZH508, ZH509, ZH510	ID515, ID516, ID517, ID518, ID519, ID520, ID521, ID522, ID523, ID524, ID525, ID526	MS512, MS513, MS514, MS515, MS516, MS517, MS518, MS519, MS520, MS521, MS522, MS523, MS524, MS525	CA533, CA534, CA535, CA536, CA537, CA538, CA539, CA540, CA541, CA542, CA543, CA544	TL641, TL642, TL643, TL644, TL645, TL646, TL647, TL648, TL649, TL650, TL651, TL652	RO560, RO561, RO562, RO563, RO564, RO565, RO566, RO567, RO568	FA550, FA551, FA552, FA553, FA554, FA555, FA556, FA557, FA558, FA559	SV464, SV465, SV466, SV467, SV468, SV469, SV470, SV471, SV472, SV473, SV474, SV475, SV476, SV477	SL512, SL513, SL514, SL515, SL516, SL517, SL518, SL519, SL520, SL521, SL522, SL523, SL524, SL525	AR443, AR444, AR445, AR446, AR447, AR448, AR449, AR450	NO430, NO431, NO432, NO433, NO434, NO435, NO436, NO437, NO438, NO439, NO440, NO441, NO442, NO443	DA409, DA410, DA411, DA412, DA413, DA414, DA415, DA416, DA417, DA418, DA419, DA420	CS412, CS413, CS414, CS415, CS416, CS417, CS418, CS419, CS420, CS421, CS422	SK394, SK395, SK396, SK397, SK398, SK399, SK400, SK401, SK402, SK403	IS415, IS416, IS417, IS418, IS419, IS420, IS421, IS422, IS423, IS424, IS425, IS426, IS427	HR384, HR385, HR386, HR387, HR388, HR389, HR390, HR391, HR392, HR393, HR394, HR395, HR396, HR397	EL421, EL422, EL423, EL424, EL425, EL426, EL427, EL428, EL429	BG384, BG385, BG386, BG387, BG388, BG389, BG390, BG391, BG392, BG393, BG394, BG395, BG396	LT386, LT387, LT388, LT389, LT390, LT391, LT392, LT393, LT394, LT395	UK380, UK381, UK382, UK383, UK384, UK385, UK386, UK387, UK388, UK389, UK390, UK391, UK392, UK393	HE359, HE360, HE361, HE362, HE363, HE364, HE365, HE366, HE367, HE368, HE369	VI373, VI374, VI375, VI376, VI377, VI378, VI379, VI380, VI381, VI382, VI383, VI384	HU355, HU356, HU357, HU358, HU359, HU360, HU361, HU362, HU363, HU364, HU365, HU366	ET363, ET364, ET365, ET366, ET367, ET368, ET369, ET370, ET371, ET372	TR329, TR330, TR331, TR332, TR333, TR334, TR335, TR336	LV351, LV352, LV353, LV354, LV355, LV356, LV357, LV358, LV359, LV360, LV361	SR334, SR335, SR336, SR337, SR338, SR339, SR340, SR341, SR342, SR343	GA345, GA346, GA347, GA348, GA349, GA350, GA351, GA352, GA353, GA354	CY330, CY331, CY332, CY333, CY334, CY335, CY336, CY337, CY338, CY339	SW337, SW338, SW339, SW340, SW341, SW342, SW343, SW344, SW345, SW346, SW347, SW348	SQ331, SQ332, SQ333, SQ334, SQ335, SQ336, SQ337, SQ338, SQ339	AF310, AF311, AF312, AF313, AF314, AF315, AF316, AF317, AF318, AF319	HI323, HI324, HI325, HI326, HI327, HI328, HI329, HI330, HI331, HI332, HI333	KO306, KO307, KO308, KO309, KO310, KO311, KO312, KO313, KO314	MT326, MT327, MT328, MT329, MT330, MT331, MT332, MT333, MT334, MT335	EU230, EU231		TH193, TH194, TH195	GL125	EO99	
ALIGNMENT48	EN6611, EN6612, EN6613, EN6614, EN6615, EN6616, EN6617, EN6618, EN6619, EN6620, EN6621, EN6622, EN6623, EN6624, EN6625, EN6626, EN6627, EN6628, EN6629, EN6630, EN6631	JA4495, JA4496, JA4497, JA4498, JA4499, JA4500, JA4501, JA4502	IT3838, IT3839, IT3840, IT3841, IT3842, IT3843, IT3844, IT3845, IT3846, IT3847	ES3382, ES3383, ES3384, ES3385, ES3386, ES3387, ES3388, ES3389, ES3390	NL3342, NL3343, NL3344, NL3345, NL3346, NL3347, NL3348, NL3349, NL3350	FR3229, FR3230, FR3231, FR3232, FR3233, FR3234, FR3235	DE3018, DE3019, DE3020, DE3021, DE3022, DE3023, DE3024, DE3025, DE3026, DE3027	FI3258, FI3259, FI3260, FI3261, FI3262, FI3263, FI3264, FI3265, FI3266	PL3186, PL3187, PL3188, PL3189, PL3190, PL3191, PL3192, PL3193, PL3194, PL3195, PL3196, PL3197		PT2625, PT2626, PT2627, PT2628, PT2629, PT2630, PT2631, PT2632, PT2633	RU2921, RU2922, RU2923, RU2924, RU2925, RU2926, RU2927, RU2928	ZH2729, ZH2730, ZH2731, ZH2732, ZH2733, ZH2734	ID2390, ID2391, ID2392, ID855, ID2393	MS2452, MS2453, MS2454, MS2455, MS2456, MS2457	CA2474, CA2475, CA2476, CA2477, CA1009	TL3083, TL3084, TL3085, TL3086, TL3087	RO2590, RO2591, RO2592, RO2593, RO2594, RO2595, RO2596, RO2597	FA2690, FA2691, FA2692	SV2440, SV2441, SV2442, SV2443, SV2444, SV2445	SL2567, SL2568, SL2569, SL2570, SL2571	AR2323, AR2324, AR2325, AR2326, AR2327	NO2225, NO2226, NO2227, NO2228, NO2229, NO2230	DA2098, DA2099, DA2100, DA2101, DA2102	CS2075, CS2076, CS2077, CS2078, CS2079, CS2080	SK2053, SK2054, SK2055, SK2056, SK2057	IS2204, IS2205, IS2206, IS2207, IS2208, IS2209, IS2210	HR2008, HR2009, HR2010, HR2011	EL2059, EL2060, EL2061, EL2062, EL2063	BG1984, BG1985, BG1986, BG1987, BG1988	LT1931, LT1932, LT1933, LT1934	UK2011, UK2012, UK2013, UK2014, UK2015, UK2016	HE1967, HE1968, HE1969, HE1970, HE1971, HE1972	VI1912, VI1913, VI1914, VI1915, VI1916, VI1917	HU1883, HU1884, HU1885, HU1886	ET1863, ET1864, ET1865, ET1866, ET1867, ET1868	TR1698, TR1699, TR1700, TR1701, TR1702, TR1703, TR1704, TR1705, TR1706	LV1868, LV1869, LV1870, LV1871	SR1806, SR1807, SR1808, SR1809, SR1810, SR1811	GA1829, GA1830, GA1831, GA1832, GA1833	CY1762, CY1763, CY1764, CY1765, CY1766	SW1753, SW1754, SW1755, SW1756, SW1757	SQ1739, SQ1740, SQ1741, SQ1742	AF1670, AF1671, AF1672, AF1673, AF1674	HI1625, HI1626, HI1627, HI1628, HI1629, HI1630, HI1631	KO1609, KO1610, KO1611	MT1688, MT1689, MT1690	EU1036, EU1037		TH976		EO515	
ALIGNMENT49	EN710, EN711, EN712, EN713, EN714, EN715, EN716, EN717, EN718, EN719																																																				
ALIGNMENT50	EN792, EN793, EN794	JA697, JA698, JA699, JA700, JA701, JA702	IT554, IT555, IT556, IT557, IT558, IT559, IT560, IT561, IT562, IT563, IT564, IT565	ES424, ES425, ES116, ES426, ES427, ES428, ES429	NL489, NL490, NL491, NL492, NL493	FR460, FR461, FR134	DE420, DE421	FI447, FI448, FI449, FI141, FI61, FI450, FI451	PL394, PL395		PT346, PT99, PT347, PT348, PT349	RU358, RU359, RU360, RU361, RU362, RU363, RU364, RU365, RU366	ZH344, ZH345, ZH346, ZH347, ZH348	ID334, ID335, ID336	MS328, MS329	CA351, CA352, CA353, CA110	TL489, TL490	RO384, RO385, RO386	FA367, FA368, FA369, FA370	SV296, SV297	SL97, SL339, SL340	AR293, AR294, AR295	NO285	DA255, DA256	CS266, CS267	SK254, SK255, SK256	IS241, IS242, IS243	HR243, HR244, HR245, HR246, HR247, HR248	EL269, EL270, EL271, EL272	BG250, BG251, BG252	LT248, LT249	UK252, UK253	HE227, HE228	VI231, VI232	HU227, HU228	ET229, ET230	TR206, TR207	LV222, LV223	SR222, SR223	GA213, GA214	CY206, CY207	SW216, SW217	SQ219, SQ68, SQ220, SQ66, SQ221	AF190, AF191	HI195, HI196	KO192, KO193	MT204, MT205, MT206, MT207	EU163, EU164			GL89		
ALIGNMENT51	EN7145, EN7146, EN7147, EN7148	JA5082	IT4181	ES3643, ES3644		FR3531		FI3602, FI3603, FI3604, FI3605, FI3606, FI3607, FI3608			PT2838		ZH3003, ZH3004			CA2696, CA2697, CA2698		RO2806, RO2807, RO2808			SL2856																																
ALIGNMENT52	EN2606, EN2607, EN2608, EN2609, EN2610, EN2611, EN2612, EN2613	JA1950, JA1951	IT1755, IT1756, IT1757, IT1758	ES1370, ES1371, ES1372	NL1508, NL1509, NL1510	FR1415, FR1416, FR1417, FR1418	DE1269, DE1270, DE1271, DE1272, DE1273, DE1274	FI1377, FI1378, FI1379	PL1368, PL1369, PL1370		PT1113, PT1114, PT1115	RU1254, RU1255	ZH1089, ZH1090, ZH1091	ID1007, ID1008, ID1009	MS1042, MS1043, MS1044	CA1056, CA1057, CA1058	TL1079, TL1080, TL1081	RO1115, RO1116, RO1117	FA1074, FA1075	SV972, SV973	SL1085	AR931, AR932, AR933	NO903	DA869, DA870, DA871	CS864, CS865, CS866	SK864, SK865, SK866	IS912, IS913, IS914	HR833, HR834, HR835	EL888, EL889, EL890	BG826, BG827	LT827, LT828	UK830, UK831, UK832, UK833	HE806, HE807, HE808	VI790, VI791, VI792	HU765, HU766, HU767, HU768	ET772, ET773, ET774	TR708, TR709, TR710, TR711	LV768, LV769	SR743	GA747, GA748	CY726, CY727, CY728	SW730, SW731, SW732	SQ723, SQ724	AF689, AF690, AF691	HI698, HI699, HI700	KO695, KO696	MT703, MT704			TH397, TH398		EO200, EO201	
ALIGNMENT53	EN4953	JA3670	IT2071		NL2735	FR2566		FI2591			PT2027							RO1984, RO2078, RO1985	FA2067, FA2066, FA2065			AR1784, AR1785, AR1786, AR1297						HR450, HR1587, HR1588, HR1589	EL1649														SQ1409					EU811		TH746			
ALIGNMENT54	EN605, EN611, EN2173, EN2174, EN607, EN608, EN609, EN610, EN606, EN2175, EN2176, EN2177, EN612, EN2178	JA1673, JA1674, JA558, JA1675, JA1676	IT413, IT1507, IT1508, IT415, IT1509, IT417, IT418, IT419, IT1510, IT420, IT412	ES300, ES1147, ES1148, ES1149, ES309, ES310, ES1150	NL1269, NL349, NL1270, NL1271	FR1191, FR1192, FR342, FR343, FR333, FR1193, FR344, FR345, FR1194	DE1058, DE1059, DE1060, DE301, DE310, DE311, DE309	FI1150, FI1151, FI1152, FI1153, FI1154, FI1155, FI354, FI1156, FI1157, FI1158	PL1115, PL1116, PL1117, PL1118, PL1119, PL1120, PL1121, PL1122, PL1123, PL1124		PT246, PT914, PT915, PT916, PT257, PT917	RU1052, RU1053, RU260, RU1054, RU252	ZH918, ZH919, ZH920, ZH921	ID842, ID843, ID844, ID845	MS879, MS880, MS881, MS882	CA899, CA900, CA901, CA902, CA903	TL960, TL961, TL962, TL963	RO939, RO288, RO940, RO289, RO941	FA907, FA908, FA909, FA910, FA911, FA912	SV812, SV813, SV814, SV815	SL900, SL242, SL901, SL243, SL245, SL902, SL903, SL904	AR781, AR782, AR783, AR239	NO755, NO756, NO757, NO758	DA712, DA713, DA199, DA714	CS718, CS719, CS720, CS721	SK733, SK734, SK735, SK736	IS751, IS752, IS753, IS754	HR701, HR702, HR703, HR704	EL724, EL725, EL726, EL727	BG689, BG690, BG691, BG692	LT682, LT188, LT683, LT684	UK698, UK699, UK700, UK701	HE652, HE653, HE170, HE654	VI667, VI668, VI669, VI670	HU643, HU644, HU645, HU646	ET645, ET646, ET647, ET648	TR585, TR163, TR586, TR587	LV639, LV640, LV641, LV642	SR612, SR613, SR614, SR615	GA626, GA627, GA628, GA629	CY597, CY598, CY599, CY600	SW613, SW614, SW615, SW616	SQ599, SQ600, SQ601, SQ602	AF572, AF573, AF574, AF575	HI573, HI574, HI144, HI575	KO570, KO571, KO572, KO573	MT588, MT589, MT590, MT591	EU397, EU398		TH328			
ALIGNMENT55	EN4692, EN4693, EN4694, EN4695, EN4696, EN4697, EN4698, EN941, EN4699	JA3251, JA3252, JA3253, JA3254, JA2272, JA3255	IT2883, IT2884, IT2422, IT2885, IT2886, IT2887, IT2888, IT2889, IT2890, IT2891	ES2543, ES2544, ES2545	NL2464, NL2465, NL2466, NL2467, NL2468	FR436, FR2447, FR2448, FR2449	DE2250, DE2251, DE2252	FI2362, FI2363, FI2364, FI2365, FI2366, FI2367	PL2324, PL2325, PL2326		PT1925, PT430, PT1926, PT1927, PT1928	RU2166, RU2167, RU2168	ZH1935, ZH1936	ID1709, ID1710, ID1711	MS1763, MS1764, MS1765	CA1816, CA1817, CA1818	TL2141, TL2142, TL2143	RO1873, RO1874, RO1875, RO1876, RO1877	FA443, FA1948, FA1949, FA1950	SV1768, SV1769, SV1770	SL1882, SL1883, SL1884	AR1640, AR1641, AR1642	NO1595, NO1596, NO1597	DA1511, DA1512, DA1513	CS1525, CS1526, CS1527, CS1528	SK1506, SK1507, SK1508	IS1564, IS1565, IS1566	HR1452, HR1453, HR1454	EL1522, EL1523, EL1524	BG1413, BG1414, BG1415	LT1399, LT1400, LT1401	UK1474, UK1475, UK1476	HE1438	VI1386, VI1387, VI1388, VI1389	HU1397, HU1398, HU1399	ET1354, ET1355, ET1356	TR1258	LV1359, LV1360, LV1361, LV1362	SR1307, SR1308, SR1309	GA1336, GA1337, GA1338	CY1275, CY1276, CY1277	SW1275, SW1276, SW1277	SQ1288, SQ1289, SQ1290	AF1223, AF1224, AF1225	HI1184, HI1185, HI1186	KO1179	MT1236, MT1237, MT1238	EU771					
ALIGNMENT56	EN7101	JA5030	IT4151	ES3619				FI3577	PL3449		PT2826, PT2827					CA2681					SL2835																																
ALIGNMENT57	EN5063, EN5064	JA3615	IT3112, IT3113	ES2706	NL2696	FR2627	DE2414	FI2549, FI2550	PL2529		PT2068	RU2343	ZH2115	ID1895	MS1945	CA1965, CA1966, CA1967	TL2406	RO2046, RO2047	FA2120	SV1896	SL2026	AR1755	NO1720	DA1633	CS1641	SK1626	IS1717	HR1556	EL1620	BG1534	LT1510	UK1570	HE1539	VI1491	HU1490	ET1453	TR1362	LV1461	SR1400	GA1436	CY1378	SW1376	SQ1376	AF1315	HI1278	KO1265	MT1336			TH730, TH731			
ALIGNMENT58	EN7971, EN7972, EN7973, EN7974		IT4611, IT4612	ES4115, ES4116, ES4117	NL4106, NL4107, NL4108	FR3971, FR3972, FR3973, FR3974, FR3975	DE3643, DE3644, DE3645, DE3646	FI4055, FI4056	PL3815, PL3816	MK3712, MK3713, MK3714, MK3715, MK3716, MK3717, MK3718, MK3719, MK3720, MK3721, MK3722, MK3723, MK3724, MK3725, MK3726, MK3727, MK3728, MK3729, MK3730, MK3731, MK3732, MK3733, MK3734, MK3735, MK3736, MK3737, MK3738, MK3739, MK3740, MK3741, MK3742, MK3743, MK3744, MK3745, MK3746, MK3747, MK3748, MK3749	PT3172, PT3173	RU3481, RU3482		ID3035, ID3036	MS3135	CA3047, CA3048	TL3593	RO3151, RO3152	FA3224	SV2923, SV2924, SV2925, SV2926	SL3203	AR2741, AR2742	NO2617, NO2618	DA2482, DA2483	CS2486	SK2479, SK2480	IS2689	HR2392	EL2453	BG2379	LT2286	UK2347, UK2348, UK2349, UK2350	HE2333, HE2334, HE2335, HE2336	VI2238	HU2221, HU2222	ET2196, ET2197	TR2025	LV2193	SR2150, SR2151, SR2152, SR2153, SR2154	GA2158	CY2084, CY2085, CY2086, CY2087, CY2088, CY2089, CY2090	SW2060, SW2061, SW2062	SQ2046	AF1975, AF1976	HI1918		MT1969					EO605, EO606	SIMPLE580
ALIGNMENT59	EN6610	JA4494		ES3380				FI3255								CA2471, CA2472, CA2473		RO2588											EL2058																			EU1032, EU1033, EU1034, EU1035		TH975			
ALIGNMENT60	EN2192, EN1307, EN2193, EN2194, EN2195, EN2196, EN2197, EN2198	JA1697, JA1698, JA1699, JA1700, JA1701, JA1702, JA1703, JA1704, JA1705, JA1706, JA1707, JA1708, JA1709, JA1710, JA1711, JA1712, JA1713, JA1714, JA1715, JA1716, JA1717, JA1718, JA1719	IT1533, IT1534, IT1535, IT1536, IT1537, IT1538, IT1539, IT1540	ES1160, ES1161, ES1162, ES1163, ES1164, ES1165, ES1166, ES1167, ES1168, ES1169, ES1170, ES1171, ES1172, ES1173, ES1174, ES1175, ES1176, ES1177, ES1178, ES994, ES1179, ES1180, ES371	NL1283, NL1284, NL1285, NL1286, NL1287, NL1288, NL1289, NL1290, NL1291, NL1292, NL1293, NL770, NL1294, NL1295, NL1296, NL1297, NL1298, NL1299, NL1300, NL1301, NL1302, NL1303, NL1304, NL1305, NL1306, NL1307, NL1308	FR1203, FR1204, FR1205, FR1206, FR1207, FR1208, FR1209, FR1210, FR1211, FR1212, FR1213, FR1214, FR1215	DE1069, DE1070, DE1071, DE1072, DE1073, DE1074, DE1075, DE1076, DE1077, DE1078, DE1079	FI1171, FI1172, FI1173, FI1174, FI1175, FI1176, FI1177, FI719	PL1141, PL226, PL1142, PL668, PL1143, PL1144, PL1145, PL677, PL678	MK998, MK999, MK1000	PT926, PT927, PT928, PT929, PT930, PT931, PT932, PT933, PT934, PT935, PT936, PT937, PT938, PT939	RU1062, RU1063, RU1064, RU1065, RU1066, RU1067, RU1068, RU1069		ID857, ID858, ID859, ID860, ID861, ID862, ID863	MS892, MS893, MS894, MS895	CA917, CA918, CA919, CA920	TL970	RO948, RO949, RO950, RO951, RO952	FA922	SV822, SV258, SV823	SL914, SL915, SL916, SL917, SL918, SL919, SL920, SL921, SL922, SL923	AR791, AR792, AR793, AR794, AR795	NO765, NO766, NO767	DA721, DA722, DA723, DA724, DA725, DA726	CS729, CS730, CS731, CS732, CS733, CS734, CS439, CS735, CS736	SK745, SK425, SK429	IS761, IS762, IS763		EL734, EL735, EL736, EL737, EL738, EL739, EL740, EL741, EL742, EL743, EL744, EL745	BG700, BG701	LT692, LT693, LT694	UK708, UK709	HE660	VI678	HU652, HU653, HU654	ET655, ET656, ET657	TR597, TR598, TR599, TR600, TR601, TR602, TR603	LV649, LV650, LV651, LV652	SR624	GA636, GA637, GA638	CY607, CY608		SQ609	AF582, AF583	HI583, HI584	KO580, KO581, KO582	MT598	EU402, EU403, EU404, EU405	BN274	TH330, TH331, TH332, TH333, TH334, TH335, TH336, TH337, TH338, TH339, TH340, TH341	GL223, GL224, GL225, GL226	EO171	
ALIGNMENT61	EN5401, EN5402, EN5403, EN5404, EN5405, EN5406, EN5407, EN5408, EN5409, EN5410, EN5411	JA3862, JA3863, JA3864, JA3865, JA3866, JA3867	IT3311	ES2895, ES2896, ES2897, ES2898	NL2886, NL2887, NL2888, NL2889	FR2784, FR2785, FR2786, FR2787, FR2788, FR2789	DE2574, DE2575, DE2576	FI2743, FI2744, FI2745, FI2746, FI2747	PL2720, PL2721	MK2448, MK2449, MK2450, MK2451, MK2452, MK2453, MK2454, MK2455, MK2456, MK2457, MK2458, MK2459, MK2460	PT2209, PT2210, PT2211, PT2212, PT2213, PT2214, PT2215, PT2216, PT2217, PT2218	RU2486, RU2487, RU2488, RU2489, RU2490	ZH2271, ZH2272, ZH2273, ZH2274, ZH2275, ZH2276, ZH2277, ZH2278, ZH2279, ZH2280, ZH2281, ZH2282	ID2036, ID2037, ID2038	MS2102, MS2103	CA2099, CA2100	TL2651, TL2652	RO2196, RO2197	FA2247, FA2248, FA2249, FA2250	SV2022, SV2023, SV2024, SV2025	SL2183	AR1878, AR1879, AR1880	NO1837, NO1838, NO1839	DA1741, DA1742	CS1741	SK1718	IS1824, IS1825	HR1656, HR1657, HR1658, HR1659	EL1740, EL1741, EL1742	BG1649, BG1650, BG1651	LT1614, LT1615, LT1616, LT1617	UK1683, UK1684, UK1685, UK1686	HE1645, HE1646	VI1606, VI1607	HU1589, HU1590	ET1558, ET1559	TR1448, TR1449, TR1450, TR1451	LV1575, LV1576, LV1577	SR1499, SR1500, SR1501, SR1502	GA1535, GA1536	CY1480, CY1481, CY1482	SW1464, SW1465	SQ1472, SQ1473	AF1405, AF1406	HI1369, HI1370	KO1362, KO1363, KO1364, KO1365	MT1427	EU878		TH799, TH800	GL504	EO406, EO407	SIMPLE409
ALIGNMENT62	EN2097	JA1618	IT1479, IT1480	ES1108	NL1235	FR1146		FI1114	PL1081		PT881, PT882				MS855	CA861		RO908																														EU385		TH320, TH321			
ALIGNMENT63	EN767, EN768, EN769, EN770, EN771, EN772, EN773, EN774, EN775, EN776, EN777, EN778, EN779, EN780, EN781, EN782, EN783, EN784, EN785, EN786, EN787, EN788, EN789, EN790, EN791	JA684, JA685, JA686, JA687, JA688, JA689, JA690, JA691, JA692, JA693, JA694, JA695, JA696	IT544, IT545, IT546, IT547, IT548, IT549, IT550, IT551, IT552, IT553	ES411, ES412, ES413, ES414, ES415, ES416, ES417, ES418, ES419, ES420, ES421, ES422, ES423	NL477, NL478, NL479, NL480, NL481, NL482, NL483, NL484, NL485, NL486, NL487, NL488	FR447, FR448, FR449, FR450, FR451, FR452, FR453, FR454, FR455, FR456, FR457, FR458, FR459	DE413, DE414, DE415, DE416, DE417, DE418, DE419	FI435, FI436, FI437, FI57, FI438, FI439, FI440, FI441, FI442, FI443, FI444, FI445, FI446	PL382, PL383, PL384, PL385, PL386, PL387, PL388, PL389, PL390, PL391, PL392, PL393	MK260, MK261, MK262, MK263, MK264, MK265, MK266, MK267, MK268, MK269, MK270, MK271, MK272, MK273, MK274, MK275, MK276, MK277, MK278, MK279, MK280, MK281, MK282	PT337, PT338, PT339, PT340, PT341, PT342, PT343, PT344, PT345	RU347, RU348, RU349, RU350, RU351, RU352, RU353, RU354, RU355, RU356, RU357	ZH335, ZH336, ZH337, ZH338, ZH339, ZH340, ZH341, ZH342, ZH343	ID321, ID322, ID323, ID324, ID325, ID326, ID327, ID328, ID329, ID330, ID331, ID332, ID333	MS316, MS317, MS318, MS319, MS320, MS321, MS322, MS323, MS324, MS325, MS326, MS327, MS108	CA339, CA340, CA341, CA342, CA343, CA344, CA345, CA346, CA347, CA348, CA349, CA350	TL480, TL481, TL482, TL483, TL484, TL485, TL486, TL487, TL488	RO372, RO373, RO374, RO375, RO376, RO377, RO378, RO379, RO380, RO381, RO382, RO383	FA351, FA352, FA353, FA354, FA355, FA356, FA357, FA358, FA359, FA360, FA361, FA362, FA363, FA364, FA365, FA366	SV287, SV288, SV289, SV290, SV291, SV292, SV293, SV294, SV295	SL327, SL328, SL329, SL330, SL331, SL332, SL333, SL334, SL335, SL336, SL337, SL338	AR285, AR286, AR287, AR288, AR289, AR290, AR291, AR292	NO274, NO275, NO276, NO277, NO278, NO279, NO280, NO281, NO282, NO283, NO284	DA246, DA247, DA248, DA249, DA250, DA251, DA252, DA253, DA254	CS255, CS256, CS257, CS258, CS259, CS260, CS261, CS262, CS263, CS264, CS265	SK244, SK245, SK246, SK247, SK248, SK249, SK250, SK251, SK252, SK253	IS233, IS234, IS235, IS236, IS237, IS238, IS239, IS240	HR236, HR237, HR238, HR239, HR240, HR241, HR242	EL261, EL262, EL263, EL264, EL265, EL266, EL267, EL268	BG241, BG242, BG243, BG244, BG245, BG246, BG247, BG248, BG249	LT238, LT239, LT240, LT241, LT242, LT243, LT244, LT245, LT246, LT247	UK243, UK244, UK245, UK246, UK247, UK248, UK249, UK250, UK251	HE212, HE213, HE214, HE215, HE216, HE217, HE218, HE219, HE220, HE221, HE222, HE223, HE224, HE225, HE226	VI221, VI222, VI223, VI224, VI225, VI226, VI227, VI228, VI229, VI230	HU219, HU220, HU221, HU222, HU223, HU224, HU225, HU226	ET218, ET219, ET220, ET221, ET222, ET223, ET224, ET225, ET226, ET227, ET228	TR199, TR200, TR201, TR202, TR203, TR204, TR205	LV215, LV216, LV217, LV218, LV219, LV220, LV221	SR210, SR211, SR212, SR213, SR214, SR215, SR216, SR217, SR218, SR219, SR220, SR221	GA205, GA206, GA207, GA208, GA209, GA210, GA211, GA212	CY195, CY196, CY197, CY198, CY199, CY200, CY201, CY202, CY203, CY204, CY205	SW205, SW206, SW207, SW208, SW209, SW210, SW211, SW212, SW213, SW214, SW215	SQ212, SQ213, SQ214, SQ215, SQ216, SQ217, SQ218	AF180, AF181, AF182, AF183, AF184, AF185, AF186, AF187, AF188, AF189	HI184, HI185, HI186, HI187, HI188, HI189, HI190, HI191, HI192, HI193, HI194	KO188, KO189, KO190, KO191	MT196, MT197, MT198, MT199, MT200, MT201, MT202, MT203	EU162	BN119	TH103			
ALIGNMENT64	EN5753	JA4112, JA4113, JA4114, JA4115, JA4116, JA4117, JA4118, JA4119, JA4120				FR2930		FI2899			PT2358, PT2359		ZH2433, ZH2434	ID2154, ID2155	MS2219			RO2320	FA2365	SV2171				DA1865			IS1938		EL1851, EL1852				HE1760															EU933, EU934		TH854	GL538		
